,frases
0,rj
1,pena maria jose percebi estado voce falando nao possui lojas armazem paraiba claudino atuamos apenas estados pb pe ce ba
2,voce deseje falar armazem paraiba regiao <SITE>
3,deseja continuar conversa clique continuar
4,sim
5,maria jose vamos conversar sobre
6,favor escolha opcoes abaixo
7,pedido
8,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9,<PEDIDO>
10,preciso informe cpf pessoa realizou compra
11,<NUMERO>
12,nao consegui encontrar compras cpf informa novamente
13,<PEDIDO>
14,nao entendi voce quis dizer vamos tentar novamente
15,favor escolha opcoes abaixo
16,pedido
17,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
18,<PEDIDO>
19,preciso informe cpf pessoa realizou compra
20,<CPF>
21,favor preciso insira dados abaixo possamos entrar contato voce
25,jamis vamos conversar sobre
26,favor escolha opcoes abaixo
28,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
30,preciso informe cpf pessoa realizou compra
32,compra jamis status pedido
34,alguma informacao sobre pedido
36,ainda aprendendo jamis algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
37,disponivel retirada loja
38,voce comprou retirar produto loja prazo retirada <NUMERO> horas uteis apos voce receber mail confirmacao pagamento
39,consultar status pedido
55,loja
57,finalizacao compra ate <NUMERO> horas confirmar pagamento caso compra sido efetuada cartao voce pode receber ligacao outra regiao
77,ajudar
79,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
82,pb
83,cicera cristina vamos conversar sobre
84,favor escolha opcoes abaixo
85,pedido
86,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
87,<PEDIDO>
88,preciso informe cpf pessoa realizou compra
89,<NUMERO>
90,compra cicera cristina status pedido
92,alguma informacao sobre pedido
93,nao
94,ajudar
95,sim
99,freire pb
100,ismael costa freire vamos conversar sobre
101,favor escolha opcoes abaixo
102,freire pedido
103,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
104,freire <PEDIDO>
105,preciso informe cpf pessoa realizou compra
106,freire <NUMERO>
107,compra ismael costa freire status pedido
109,alguma informacao sobre pedido
110,freire nao
111,ajudar
112,freire sim
113,aqui sempre precisar ismael costa freire
116,pb
117,edvania joaquim vamos conversar sobre
118,favor escolha opcoes abaixo
119,duvidas
120,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
121,deseja saber
122,fiz compra cartao limite nao aprovada queria saber motivo
123,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
124,<PEDIDO>
125,preciso informe cpf pessoa realizou compra
126,<NUMERO>
127,nao consegui encontrar compras cpf informa novamente
128,<NUMERO>
129,joaquim preciso preencha informacoes abaixo pedir algum colega contato voce
130,tchau
131,breve bjs
135,gilberto vamos conversar sobre
136,favor escolha opcoes abaixo
138,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
140,preciso informe cpf pessoa realizou compra
142,compra gilberto status pedido
144,alguma informacao sobre pedido
148,gilberto vamos conversar sobre
149,favor escolha opcoes abaixo
151,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
153,preciso informe cpf pessoa realizou compra
155,compra gilberto status pedido
157,alguma informacao sobre pedido
161,filipe vamos conversar sobre
162,favor escolha opcoes abaixo
164,favor informa numero pedido <PEDIDO>
166,preciso informe cpf pessoa realizou compra
168,pedido <PEDIDO> boleto <PEDIDO> clique aqui
169,ajudar
171,filipe
174,pb
175,francisco fernandes vamos conversar sobre
176,favor escolha opcoes abaixo
177,pedido
178,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
179,<PEDIDO>
180,preciso informe cpf pessoa realizou compra
181,<NUMERO>
182,compra francisco fernandes status pedido
184,alguma informacao sobre pedido
185,sim
186,duvida francisco fernandes
187,horario entrega pedido
188,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
189,consultar status entrega
190,sim
191,fernandes voce escolheu <div style
198,residencia
200,produto ate <h style color <NUMERO>
227,ajudar
228,sim
229,francisco fernandes
232,pb
233,francisco fernandes vamos conversar sobre
234,favor escolha opcoes abaixo
235,pedido
236,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
237,<PEDIDO>
238,preciso informe cpf pessoa realizou compra
239,<NUMERO>
240,compra francisco fernandes status pedido
242,alguma informacao sobre pedido
243,nao
244,ajudar
245,sim
246,francisco fernandes
250,dayane vamos conversar sobre
251,favor escolha opcoes abaixo
253,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
255,preciso informe cpf pessoa realizou compra
257,compra dayane status pedido
259,alguma informacao sobre pedido
261,ajudar
263,aqui sempre precisar dayane
266,pb
267,adriano francisco vamos conversar sobre
268,favor escolha opcoes abaixo
269,boleto
270,favor informa numero pedido <PEDIDO>
271,<PEDIDO>
272,preciso informe cpf pessoa realizou compra
273,<NUMERO>
274,verifiquei pedido numero <PEDIDO> voce nao escolheu boleto forma pagamento
275,ajudar
276,nao
277,francisco vou tentar ver colegas proxima vez consiga ajudar melhor abracos
280,pb
281,elaine cristina vamos conversar sobre
282,favor escolha opcoes abaixo
283,pedido
284,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
285,<PEDIDO>
286,preciso informe cpf pessoa realizou compra
287,<CPF>
288,compra elaine cristina status pedido
290,alguma informacao sobre pedido
291,nao
292,ajudar
293,sim
298,fabricio vamos conversar sobre
299,favor escolha opcoes abaixo
301,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
303,preciso informe cpf pessoa realizou compra
305,compra fabricio status pedido
307,alguma informacao sobre pedido
309,ajudar
311,aqui sempre precisar fabricio
314,pb
315,janaina ribeiro vamos conversar sobre
316,favor escolha opcoes abaixo
317,pedido
318,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
319,<PEDIDO>
320,preciso informe cpf pessoa realizou compra
321,<NUMERO>
322,compra janaina ribeiro status pedido
323,recebido produto radio portatil cd bluetooth <NUMERO> semp tipo entrega retirada loja observacao partir finalizacao compra ate <NUMERO> horas confirmar pagamento caso compra sido efetuada cartao voce pode receber ligacao outra regiao
324,ficou alguma duvida relacao pedido
325,sim
326,ainda aprendendo janaina ribeiro algumas duvidas ainda nao consigo ajudar aqui outras voce pode tentar consultar outras duvidas logo inicio conversa
327,fala irei verificar junto colegas vou pedir entrar contato voce breve
331,josafa vamos conversar sobre
332,favor escolha opcoes abaixo
334,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
336,nao entendi
337,favor escolha opcoes abaixo
339,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
341,nao entendi voce quis dizer vamos tentar novamente
342,favor escolha opcoes abaixo
344,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
346,nao entendendo
347,favor escolha opcoes abaixo
349,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
351,preciso informe cpf pessoa realizou compra
353,compra josafa status pedido
355,alguma informacao sobre pedido
357,ajudar
359,aqui sempre precisar josafa
363,wanderson vamos conversar sobre
364,favor escolha opcoes abaixo
366,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
368,preciso informe cpf pessoa realizou compra
370,compra wanderson status pedido
372,alguma informacao sobre pedido
374,ajudar
376,wanderson
380,adryana vamos conversar sobre
381,favor escolha opcoes abaixo
383,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
385,preciso informe cpf pessoa realizou compra
387,compra adryana status pedido
389,alguma informacao sobre pedido
393,augusto vamos conversar sobre
394,favor escolha opcoes abaixo
